ПУТЬ,УРОВЕНЬ,НАЗВАНИЕ ОБЪЕКТА,ОПИСАНИЕ ОБЪЕКТА,НАЗВАНИЕ ОПРЕДЕЛЕНИЯ,СЛОЙ,ОБЪЕМ ОБЪЕКТА,X,Y,Z,LENX,LENY,LENZ,MATERIAL,
"100x50","1","100x50","","-","5.2 Перегородка гостинная","854.3324419","6.796239","-141.732282","116.968503","3.937007","1.968504","110.236225","Color C02",
"100x50","1","100x50","","-","5.3 Перегородка санузла","793.3086887","122.047244","-82.677165","15.433401","3.937007","1.968504","102.362204","Color C02",
"150x50","1","150x50","","-","4.4 Стропила","263.1648963","-9.873241","-119.914699","180.748038","5.905512","1.968504","22.637795","Color C03",
"25x100","1","25x100","","-","4.3 Конек и фронтоны","289.6186895","119.956237","-0.167463","128.619933","0.984252","3.937008","74.740157","Color F02",
"100x50","1","100x50","","-","5.1 Несущая перегородка","762.7970398","122.04725","-211.614175","112.236205","3.937008","1.968504","98.425197","Color C02",
"25x100","1","25x100","","-","4.3 Конек и фронтоны","289.6186895","116.019229","-0.167463","128.619933","0.984252","3.937008","74.740157","Color F02",
"100x50","1","100x50","","-","5.1 Несущая перегородка","793.3088602","122.047247","-245.166536","116.141401","3.937008","1.968504","102.362205","Color C02",
"100x50","1","100x50","","-","5.2 Перегородка гостинная","793.3088562","7.874016","-141.732283","15.433401","3.937008","1.968504","102.362204","Color C02",
"150x50","1","150x50","","-","3.5 Стена В","263.1648709","51.01706","-269.685039","101.220472","5.905512","1.968504","22.637795","Color C03",
"100x50","1","100x50","","-","5.2 Перегородка гостинная","793.3088562","116.141738","-141.732282","15.433401","3.937008","1.968504","102.362204","Color C02",
"100x50","1","100x50","","-","5.2 Перегородка гостинная","854.3324419","6.796238","-141.732281","12.637794","3.937007","1.968504","110.236225","Color C02",
"150x50","1","150x50","","-","3.5 Стена В","1189.6302651","67.913386","-269.685039","-70.671695","5.905512","1.968504","102.333592","Color C03",
"100x50","1","100x50","","-","5.3 Перегородка санузла","793.3086887","230.196856","-82.677164","15.433401","3.937007","1.968504","102.362204","Color C02",
"100x50","1","100x50","","-","5.3 Перегородка санузла","853.4173039","120.968514","-82.677166","116.968503","3.937008","1.968504","110.118116","Color C02",
"100x50","1","100x50","","-","5.3 Перегородка санузла","793.3086887","196.732289","-82.677164","15.433401","3.937007","1.968504","102.362204","Color C02",
"100x50","1","100x50","","-","5.2 Перегородка гостинная","793.3088562","32.480315","-141.732283","15.433401","3.937008","1.968504","102.362204","Color C02",
"100x50","1","100x50","","-","5.3 Перегородка санузла","793.3086887","139.448824","-82.677164","15.433401","3.937007","1.968504","102.362204","Color C02",
"50х50","1","50х50","","-","6.1 Контр стен","1083.1714576","236.220472","-19.207826","7.874016","1.968504","1.968504","279.527559","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","0.0","7.874016","1.968504","1.968504","236.220472","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","1083.1714576","-1.968504","-19.207826","7.874016","1.968504","1.968504","279.527559","Color K02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","400.3715971","92.397182","-279.527555","178.422866","3.937008","1.968508","51.660646","Color C02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","312.2898457","67.790883","-279.527557","167.057524","3.937008","1.968508","40.295304","Color C02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","221.7257905","43.184584","-279.527558","155.371886","3.937008","1.968508","28.609666","Color C02",
"30х50","1","30х50","","-","6.1 Контр стен","130.8959289","0.0","-64.370079","99.842519","1.181102","1.968504","56.299212","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","489.0855619","236.220474","-160.90547","81.692913","1.968504","1.968504","126.215354","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","152.5593602","236.220474","-114.956204","101.220472","1.968504","1.968504","39.370079","Color K02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","133.0354743","18.578285","-279.527558","143.92802","3.937008","1.968508","17.1658","Color C02",
"30х50","1","30х50","","-","6.1 Контр стен","224.2622566","168.307086","-277.559055","102.539842","1.181102","1.968504","96.456693","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","121.7423691","0.0","-213.188976","41.574803","1.181102","1.968504","52.362205","Материал3",
"50х50","1","50х50","","-","4.2 Контр потолка","1082.1312705","236.220472","-19.18749","124.84252","1.968504","1.968504","279.259124","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","178.4944516","-1.968503","-118.2534","57.086614","1.968504","1.968504","46.062992","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","130.8959289","0.0","-162.795276","99.842519","1.181102","1.968504","56.299212","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","118.2335135","205.708662","-277.559055","32.480315","1.968504","1.968504","30.511813","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","84.2127659","203.85507","-277.559055","13.425196","1.181102","1.968504","36.220472","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","130.8959289","0.0","-114.76378","99.842519","1.181102","1.968504","56.299212","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","130.8959289","0.0","-213.188976","99.842519","1.181102","1.968504","56.299212","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","64.5326098","67.322834","-276.771654","41.574803","1.181102","1.968504","27.755906","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","260.8764906","0.0","-277.559055","57.086614","1.968504","1.968504","67.322833","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","0.0","81.692913","1.968504","1.968504","236.220472","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","121.7423694","0.0","-114.76378","99.842519","1.181102","1.968504","52.362205","Материал3",
"200x50","1","200x50","","-","4.3 Конек и фронтоны","803.4733843","118.971985","-5.905512","81.645112","7.874016","1.968504","51.836889","Материал2",
"50х50","1","50х50","","-","6.1 Контр стен","441.526576","236.220474","-6.663475","57.086614","1.968504","1.968504","113.942126","Color K02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","401.6268804","117.003481","-278.740157","178.647913","1.181102","1.968504","172.742401","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","392.1886488","92.397182","-278.740158","174.588466","1.181102","1.968504","168.682955","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","0.0","32.480315","1.968504","1.968504","236.220472","Color K02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","271.9522962","-1.968502","-278.740157","122.874016","1.181102","1.968504","116.968504","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","84.2127659","203.85507","-277.559055","97.283465","1.181102","1.968504","36.220472","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","647.61448","0.0","-277.559055","32.480315","1.968504","1.968504","167.125981","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","-277.559055","106.299213","1.968504","1.968504","236.220472","Color K02",
"200x50","1","200x50","","-","4.4 Стропила","2546.2185739","842.396991","25.590551","111.931233","7.887364","1.968504","166.117124","Материал2",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","0.0","57.086614","1.968504","1.968504","236.220472","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","152.5593602","236.220474","-114.956204","44.069813","1.968504","1.968504","39.370079","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","489.0855619","236.220474","-160.90547","57.086614","1.968504","1.968504","126.215354","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","915.3561614","0.0","0.0","106.299213","1.968504","1.968504","236.220472","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","224.2622566","205.708661","-277.559055","102.539842","1.181102","1.968504","96.456693","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","213.8312798","236.220474","-151.343701","95.071502","1.968504","1.968504","55.182155","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","126.3191483","67.322834","-276.771654","97.874015","1.181102","1.968504","54.330709","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","260.8764906","0.0","-277.559055","81.692913","1.968504","1.968504","67.322833","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","249.4345536","-1.968502","-218.065498","57.086614","1.968504","1.968504","64.370079","Color K02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","311.7493912","18.578284","-278.740157","139.991012","1.181102","1.968504","134.0855","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","64.53261","67.322834","-276.771654","97.874015","1.181102","1.968504","27.755906","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","365.5256121","67.790883","-278.740157","163.120516","1.181102","1.968504","157.215005","Материал3",
"100x50","1","100x50","","-","4.2 Контр потолка","1769.6922056","232.283469","-279.259121","126.811027","3.937008","1.968508","228.346459","Color C02",
"150x50","1","150x50","","-","3.3 Стена ЮВ","1189.6303937","0.0","-138.779527","-73.857993","5.905512","1.968504","102.333593","Color C03",
"30х50","1","30х50","","-","6.1 Контр стен","121.7423694","0.0","-213.188976","99.842519","1.181102","1.968504","52.362205","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","118.2335135","205.708661","-277.559055","57.086614","1.968504","1.968504","30.511813","Color K02",
"30х50","1","30х50","","-","6.1 Контр стен","121.7423691","0.0","-114.763779","41.574803","1.181102","1.968504","52.362205","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","178.4944516","-1.968503","-118.2534","81.692913","1.968504","1.968504","46.062992","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","279.183637","95.07874","-277.559055","57.086614","1.968504","1.968504","72.047244","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","249.4345536","-1.968502","-218.065498","81.692913","1.968504","1.968504","64.370079","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","213.8312798","236.220474","-113.942126","95.071502","1.968504","1.968504","55.182155","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","279.183637","95.07874","-277.559055","81.692913","1.968504","1.968504","72.047244","Color K02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","338.3564332","43.184584","-278.740157","151.434878","1.181102","1.968504","145.529366","Материал3",
"30х50","1","30х50","","-","6.1 Контр стен","126.3191483","93.110236","-276.771654","97.874015","1.181102","1.968504","54.330709","Материал3",
"50х50","1","50х50","","-","6.1 Контр стен","441.526576","236.220474","-6.663475","81.692913","1.968504","1.968504","113.942126","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","1083.1714576","236.220473","-19.207826","106.299213","1.968504","1.968504","279.527559","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","249.4345543","-1.968502","-2.908017","81.692913","1.968504","1.968504","64.370079","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","1083.1714576","-1.968503","-19.207826","106.299213","1.968504","1.968504","279.527559","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","249.4345543","-1.968502","-2.908017","57.086614","1.968504","1.968504","64.370079","Color K02",
"50х50","1","50х50","","-","6.1 Контр стен","1083.1714576","236.220475","-19.207826","32.480315","1.968504","1.968504","279.527559","Color K02",
"50х50","1","50х50","","-","4.2 Контр потолка","1082.1312705","-1.968504","-19.18749","124.84252","1.968504","1.968504","279.259124","Color K02",
"100x50","1","100x50","","-","4.2 Контр потолка","1769.6922056","232.283465","-3.937001","126.81102","3.937008","1.968508","228.346459","Color C02",
"50х50","1","50х50","","-","6.1 Контр стен","118.2335135","205.708661","-277.559055","81.692913","1.968504","1.968504","30.511813","Color K02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-261.811024","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-2.188455","-65.00312","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","0.0","116.890469","1.181103","1.968504","114.212599","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","400.3715971","92.397182","-3.936996","178.422863","3.937008","1.968508","51.660646","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-261.579922","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-89.335827","116.890469","1.181103","1.968504","114.212599","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","400.3715971","143.578288","-279.527556","178.471674","3.937008","1.968508","51.660646","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","271.9522962","-1.968498","1.968511","122.92282","1.181102","1.968504","116.968504","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","0.0","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","47.1408406","-2.188453","-89.609419","118.50429","1.181103","1.968504","20.275591","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","88.7321714","239.370082","-132.642913","41.119327","1.181103","1.968504","38.164301","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","47.1408406","-1.968502","-187.992126","118.50429","1.181103","1.968504","20.275591","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","400.3715971","143.578288","-3.936997","178.47167","3.937008","1.968508","51.660646","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","311.7493912","217.397186","1.968511","140.039816","1.181102","1.968504","134.0855","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-277.559055","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","392.1886488","143.578288","1.968511","174.63727","1.181102","1.968504","168.682955","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-187.761024","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-64.729528","116.890469","1.181103","1.968504","114.212599","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","221.7257905","192.790886","-3.937","155.42069","3.937008","1.968508","28.609666","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","311.7493912","18.578288","1.968511","140.039816","1.181102","1.968504","134.0855","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","401.6268804","117.003481","1.968504","178.647913","1.181102","1.968504","172.742401","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-212.598425","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-212.367323","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-113.942126","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-151.343701","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","87.4027796","-1.968503","-187.992126","40.770676","1.181103","1.968504","37.592521","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","125.9022795","192.790883","-278.740157","151.434878","1.181102","1.968504","54.151413","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","48.6627788","239.370082","-132.642913","118.50429","1.181102","1.968504","20.930187","Материал3",
"150x50","1","150x50","","-","2.1 Обвязка","1021.99516","120.078738","-34.601378","0.0","5.905512","1.968504","87.913386","Color C03",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","312.2898457","168.184587","-279.527558","167.106332","3.937008","1.968508","40.295304","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-163.154725","116.890469","1.181103","1.968504","114.212599","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","221.7257905","43.184584","-3.936999","155.371883","3.937008","1.968508","28.609666","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","311.7493912","217.397182","-278.740157","139.991012","1.181102","1.968504","134.0855","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","271.9522962","236.220478","1.968511","122.92282","1.181102","1.968504","116.968504","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","392.1886488","143.578284","-278.740158","174.588466","1.181102","1.968504","168.682955","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","221.7257905","192.790886","-279.527559","155.420693","3.937008","1.968508","28.609666","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-277.559055","116.890469","1.181103","1.968504","114.212599","Материал3",
"150x50","1","150x50","","-","2.1 Обвязка","2700.3006749","-191.60105","-181.771654","0.0","5.905512","1.968504","232.283465","Color C03",
"200x50","1","200x50","","-","4.4 Стропила","2546.2185739","842.396991","-237.204724","111.931233","7.887364","1.968504","166.117124","Материал2",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","365.5256121","168.184587","1.968511","163.16932","1.181102","1.968504","157.215005","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","392.1886488","92.397186","1.968511","174.63727","1.181102","1.968504","168.682955","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","234.1583464","208.464566","-278.740157","111.913363","1.181102","1.968504","100.713072","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-40.396821","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","87.4027796","-2.188454","-89.609419","40.770676","1.181103","1.968504","37.592521","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-236.973622","116.890469","1.181103","1.968504","114.212599","Материал3",
"150x50","1","150x50","","-","2.1 Обвязка","1021.99516","118.110234","-34.601378","0.0","5.905512","1.968504","87.913386","Color C03",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","312.2898457","168.184587","-3.936999","167.106328","3.937008","1.968508","40.295304","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-15.790521","116.890469","1.181103","1.968504","114.212599","Материал3",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-70.26856","-179.80315","0.0","5.905512","1.968504","112.204724","Color C03",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","133.0354743","18.578285","-3.936999","143.928016","3.937008","1.968508","17.1658","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","365.5256121","168.184583","-278.740157","163.120516","1.181102","1.968504","157.215005","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","239.370081","-40.123228","116.890469","1.181103","1.968504","114.212599","Материал3",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","133.0354743","217.397186","-279.527559","143.976827","3.937008","1.968508","17.1658","Color C02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","312.2898457","67.790883","-3.936998","167.057521","3.937008","1.968508","40.295304","Color C02",
"100x50","1","100x50","","-","4.3 Конек и фронтоны","133.0354743","217.397186","-3.937001","143.976823","3.937008","1.968508","17.1658","Color C02",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","271.9522962","236.220474","-278.740157","122.874016","1.181102","1.968504","116.968504","Материал3",
"150x50","1","150x50","","-","4.1 Перекрытие потолка","2698.9010119","427.600789","-261.810722","118.937008","5.905512","1.968504","232.163064","Color C03",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","338.3564332","192.790887","1.968511","151.483682","1.181102","1.968504","145.529366","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","365.5256121","67.790887","1.968511","163.16932","1.181102","1.968504","157.215005","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-237.204725","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-1.968502","-163.385827","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","265.5448034","-2.188455","-114.215718","116.890469","1.181103","1.968504","114.212599","Материал3",
"30х50","1","30х50","","-","6.2 Обрешетка/вентзазор","338.3564332","43.184588","1.968511","151.483682","1.181102","1.968504","145.529366","Материал3",
"150x50","1","150x50","","-","2.1 Обвязка","1021.99516","120.078738","55.319882","0.0","5.905512","1.968504","87.913386","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1044.879058","3.937008","-411.632183","0.0","5.905512","1.968504","89.88189","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-186.410292","-179.80315","0.0","5.905512","1.968504","112.204724","Color C03",
